"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","State","Walk.Score","Transit.Score","Bike.Score","Population"
"1",15003,"Honolulu",16.8,18.9,5.2,70.7,2.5,4,4,8.9,10.5,14.4,8.7,30,30.5,9.2,23,22.1,9.4,2.5,57.6,68,"HI",63.7,"57.2","49.2",337256
"2",203000,"Anchorage",20.5,19.3,6.3,70.8,2.4,4.9,5.1,9.1,15.2,17.1,8,29.2,32.1,10.6,22.3,30.1,10.2,2.6,50.6,56.9,"AK",32,"21.1","--",291826
"3",412000,"Chandler",19.2,15.4,6.5,77.7,2.5,5,4.6,8.5,12.3,13.1,8,26.1,31,10.2,20.5,24.4,9.7,2.3,54.9,67.6,"AZ",34.6,"24.3","52.7",236123
"4",427820,"Glendale",21.7,13.9,6.4,73.1,3.1,6.9,5.8,9.3,20.2,17.4,10.4,29.6,33,13,26.7,29.3,13.5,3.1,56.3,66.2,"AZ",39.9,"34.2","52.9",226721
"5",446000,"Mesa",21.4,14.9,6.6,74.6,2.8,6.5,5.5,9.2,16.8,16.7,9.1,28.4,32.3,12.3,24.4,28,12.3,2.9,55.4,66.3,"AZ",37.3,"27.1","57.2",439041
"6",455000,"Phoenix",21.5,13.7,6.3,72.6,3.1,6.8,5.9,9.3,21.9,17.2,10.7,29.7,33,13,26.8,29.7,13.7,3.2,56.3,66.2,"AZ",40.8,"36","52.4",1445632
"7",465000,"Scottsdale",18.8,16.4,6.9,79.3,2.3,4.6,4.3,8.4,9.2,11.9,6.7,24.6,30.3,9.4,17.8,23,8.6,2.1,54.2,67.5,"AZ",32.4,"25.6","52.1",217385
"8",477000,"Tucson",21.8,14.6,5.7,70.9,3.2,6.8,6,10.4,20.7,18,10.8,27.9,33,13.4,25.6,30,13.8,3.2,55.4,65.4,"AZ",42.4,"34.2","63.7",520116
"9",602000,"Anaheim",17.3,15.7,5.4,72.3,2.7,4.9,5.4,8,18.6,13.8,10.4,27.2,31,12.4,22.5,22.7,13.1,2.7,52.6,64.3,"CA",54.5,"37.1","49.2",336265
"10",603526,"Bakersfield",21.7,16,5.8,73.1,2.9,6.1,5.8,8.9,17.1,15.4,10.8,27.6,29.4,13.4,23.4,30.1,14.1,3.2,53,62.9,"CA",37.4,"27.4","41.4",347483
"11",613392,"Chula Vista",17.6,17.1,5.4,73.7,2.7,4.4,4.9,7.7,16.7,12,9.9,26.6,29.7,11.3,20.4,24.4,12,2.6,51.9,65.1,"CA",42.3,"35.3","36.1",243916
"12",626000,"Fremont",15.9,14.8,5.3,77.7,2,3.2,3.8,7.4,8.1,9.3,7.6,23,26.9,8.2,16.2,14.7,7.8,1.9,53.4,65.4,"CA",44.2,"37.3","48.6",214089
"13",627000,"Fresno",21.6,15.5,5.6,70.3,3.2,6.7,6.5,9.5,20.1,16.7,12.6,31.5,31.5,14.5,25.3,30.9,16.1,3.6,55.2,64.9,"CA",46.3,"31.3","56.6",494665
"14",630000,"Glendale",18.9,17.8,6.2,76.8,2.5,5.3,4.9,8.4,11.1,14.3,8.6,26,29.7,12.1,19.1,21.2,11.3,2.6,51.9,64.7,"AZ",39.9,"34.2","52.9",226721
"15",636770,"Irvine",14.8,15.5,5.8,78.6,2.1,3.3,4,6.9,7.2,9.2,7.2,23.2,29,8.6,14.9,15.3,8.2,2,53,66.6,"CA",43.5,"27.2","65.9",212375
"16",643000,"Long Beach",18.9,16.5,5.8,74.9,2.8,5.2,5.2,8.6,16.8,14.7,10.7,28.5,30,12.8,22,24.8,12.7,3,53.5,65.6,"CA",69.9,"51.4","61.5",462257
"17",644000,"Los Angeles",18.8,16.4,5.6,74.1,2.9,5.2,5.4,8.4,18.8,14.5,11.3,28.5,30.4,13,22.8,25.2,13.3,3,53,64.8,"CA",67.4,"51.5","55.1",3792621
"18",653000,"Oakland",20.4,14.9,5.4,73.9,2.9,5.1,5.3,9.8,14.4,14.3,11,29.6,27.9,12.2,21.5,23.9,12.4,3.3,56.3,65.8,"CA",72,"56.3","64.5",390724
"19",660620,"Richmond",21.3,14.9,5.5,72.4,3,5.4,5.6,9.5,17.4,15.4,11.9,30.8,30.4,13.1,23.1,27,13.6,3.4,55.3,67.1,"VA",51.4,"--","50.5",204214
"20",662000,"Riverside",20.6,17.1,5.8,72.4,2.9,5.6,5.8,8.6,17.2,15.7,10.5,29.8,30.3,13.2,24.6,28.4,13.6,3,52.6,63.8,"CA",41.3,"32.6","44.7",303871
"21",664000,"Sacramento",22.4,16.7,5.6,72,2.8,5.8,5.7,10.1,14,15.7,10.7,31.7,29.2,13,21.7,26.8,13.3,3.2,53.3,63.1,"CA",47.1,"33.7","65.9",466488
"22",666000,"San Diego",17.9,18,5.9,75.4,2.5,4.5,4.6,7.8,12.4,12.1,8.5,26.1,29.2,10.7,17.9,22.4,10.9,2.5,52.7,65.3,"CA",50.9,"37","39.4",1307402
"23",667000,"San Francisco",17,20.1,5.3,76.2,2.3,3.9,4.5,7.6,9.3,11.2,8.9,25.5,29.5,9.8,17,18.9,9.6,2.3,52.1,66.2,"CA",86,"80.4","70.7",805235
"24",668000,"San Jose",15.4,14.8,5.4,75.4,2.3,3.9,4.4,7.5,12.8,11.2,9.1,24.2,28.1,10.2,19.8,20.3,10.2,2.3,51.2,64,"CA",50.5,"41.3","59.3",945942
"25",669000,"Santa Ana",18.1,14.4,4.8,67.8,3.3,5.5,6.4,8.3,27.8,15.7,13.6,29.7,32.9,14.6,27.9,26.4,16.7,3.3,52.5,62.8,"CA",66.1,"45.5","57.7",324528
"26",675000,"Stockton",22.1,15.2,5.3,70.1,3.1,6.3,6.2,9.1,19.1,16.9,12.6,32,31.6,13.8,27.2,28.9,15,3.5,55,64.9,"CA",41.8,"28.2","50.8",291707
"27",804000,"Aurora",22.6,15,5.8,73,2.7,5.5,5.1,9.3,18.1,18.4,8.7,28.5,28.8,11.6,22.4,24.3,11.8,3,54.3,61.9,"CO",42.6,"38.5","53.2",325078
"28",816000,"Colorado Springs",23.6,16.2,6.3,74.3,2.5,5.3,4.9,9.2,12.7,17.8,7.2,24.9,29.8,10.8,19.1,22.3,10.8,2.6,52.5,64.5,"CO",35.5,"18.7","41.7",416427
"29",820000,"Denver",20.6,18.9,6,73.4,2.6,4.9,4.8,8.9,16.4,17.1,8,25.9,27.5,10.7,18.2,20.7,10.8,2.7,51.7,62.1,"CO",60.5,"47.8","71.3",600158
"30",1230000,"Hialeah",20.2,14.3,4.6,69.9,3.6,5.9,7.2,7.8,41.6,17.5,14.8,29.9,34.1,15.3,38.8,30.6,17.5,3.2,60.1,69.5,"FL",69.4,"38.8","51.2",224669
"31",1235000,"Jacksonville",25.4,14.7,6.2,76.4,2.8,7.2,6.2,9.1,18.9,20.3,10.7,33.7,32.1,14.2,27.3,31.3,13.7,3.4,62.8,72.6,"FL",26.8,"22.4","40.4",821784
